Record ID,Species,Scientific name,Date (Year),Latitude,Longitude,Type,Warmest Quarter Temperature,Coolest Quarter Temperature,Annual Rainfall
1,Numbat,Myrmecobius fasciatus,1946,-37.65,145.53333,historical,19.08564,8.94513,1018.95898
2,Numbat,Myrmecobius fasciatus,1932,-35.041667,117.533333,historical,19.20237,12.4694,959.979
3,Numbat,Myrmecobius fasciatus,1974,-34.76669868,117.4739997,contemporary,19.68165,11.88157,767.6806
4,Numbat,Myrmecobius fasciatus,1934,-34.766667,117.7,historical,19.52531,11.88551,702.80255
5,Numbat,Myrmecobius fasciatus,1941,-34.6375,117.375,historical,19.56571,11.12159,702.72589
6,Numbat,Myrmecobius fasciatus,1941,-34.6375,117.375,historical,19.56571,11.12159,702.72589
7,Numbat,Myrmecobius fasciatus,1941,-34.6375,117.375,historical,19.56571,11.12159,702.72589
8,Numbat,Myrmecobius fasciatus,1941,-34.6375,117.375,historical,19.56571,11.12159,702.72589
9,Numbat,Myrmecobius fasciatus,1941,-34.6375,117.375,historical,19.56571,11.12159,702.72589
10,Numbat,Myrmecobius fasciatus,1969,-34.630703,117.6649953,contemporary,19.46641,11.10238,654.39124
11,Numbat,Myrmecobius fasciatus,1969,-34.62749811,117.6639988,contemporary,19.46641,11.10238,654.39124
12,Numbat,Myrmecobius fasciatus,1993,-34.56137046,116.6706761,contemporary,19.64423,11.00174,841.2561
13,Numbat,Myrmecobius fasciatus,1936,-34.533333,118.066667,historical,19.68325,11.58762,511.70999
14,Numbat,Myrmecobius fasciatus,1954,-34.50878839,116.6748485,contemporary,19.96308,11.19433,786.7077
15,Numbat,Myrmecobius fasciatus,1863,-34.5,140,historical,22.50578,10.78611,279.6413
16,Numbat,Myrmecobius fasciatus,1863,-34.5,140,historical,22.50578,10.78611,279.6413
17,Numbat,Myrmecobius fasciatus,2003,-34.43749971,116.5988345,contemporary,20.06437,11.11494,757.07202
18,Numbat,Myrmecobius fasciatus,2001,-34.40820683,116.5048012,contemporary,20.16002,11.2169,766.74121
19,Numbat,Myrmecobius fasciatus,2000,-34.40799194,116.5495332,contemporary,20.21733,11.23428,747.09381
20,Numbat,Myrmecobius fasciatus,2003,-34.40164525,116.6077532,contemporary,20.1494,11.06055,725.43811
21,Numbat,Myrmecobius fasciatus,2002,-34.3972697,116.5281039,contemporary,19.9895,10.94401,757.63068
22,Numbat,Myrmecobius fasciatus,2000,-34.39664159,116.5289234,contemporary,19.9895,10.94401,757.63068
23,Numbat,Myrmecobius fasciatus,2004,-34.39637388,116.5320146,contemporary,19.9895,10.94401,757.63068
24,Numbat,Myrmecobius fasciatus,1999,-34.38829913,116.4429129,contemporary,20.22805,11.29474,771.36584
25,Numbat,Myrmecobius fasciatus,1994,-34.37520389,116.5452386,contemporary,20.02482,10.90293,739.72253
26,Numbat,Myrmecobius fasciatus,1928,-34.366667,117.566667,historical,19.97162,10.80275,513.9187
27,Numbat,Myrmecobius fasciatus,1997,-34.35799679,116.5284764,contemporary,19.99825,10.80997,732.06793
28,Numbat,Myrmecobius fasciatus,1996,-34.31521645,116.5433886,contemporary,20.05428,10.72442,704.16559
29,Numbat,Myrmecobius fasciatus,1996,-34.31461783,116.5053514,contemporary,20.12287,10.83906,709.05774
30,Numbat,Myrmecobius fasciatus,2002,-34.30593694,116.5315388,contemporary,20.0478,10.69092,701.98956
31,Numbat,Myrmecobius fasciatus,2001,-34.30316013,116.5895961,contemporary,20.23512,10.82364,673.79547
32,Numbat,Myrmecobius fasciatus,1901,-34.3,117.533333,historical,20.31101,10.98091,481.741
33,Numbat,Myrmecobius fasciatus,1929,-34.3,117.55,historical,20.26548,10.93934,481.24255
34,Numbat,Myrmecobius fasciatus,2002,-34.28748264,116.6077846,contemporary,20.25,10.79367,665.53241
35,Numbat,Myrmecobius fasciatus,1997,-34.27000131,116.641943,contemporary,20.19965,10.65356,656.84644
36,Numbat,Myrmecobius fasciatus,2003,-34.26740515,116.5277877,contemporary,20.12194,10.63642,679.58307
37,Numbat,Myrmecobius fasciatus,1999,-34.26735264,116.5235407,contemporary,20.0749,10.59194,685.5213
38,Numbat,Myrmecobius fasciatus,1999,-34.25943818,116.3704378,contemporary,20.10038,10.74251,732.22498
39,Numbat,Myrmecobius fasciatus,1935,-34.25,116.15,historical,19.83697,10.80009,874.99756
40,Numbat,Myrmecobius fasciatus,2002,-34.25,116.15,contemporary,19.83697,10.80009,874.99756
41,Numbat,Myrmecobius fasciatus,2006,-34.25,116.15,contemporary,19.83697,10.80009,874.99756
42,Numbat,Myrmecobius fasciatus,1991,-34.22943439,116.2457991,contemporary,20.15161,10.88149,783.50336
43,Numbat,Myrmecobius fasciatus,1983,-34.22700447,116.7040019,contemporary,20.49704,10.8413,618.15454
44,Numbat,Myrmecobius fasciatus,2001,-34.22619508,116.6662536,contemporary,20.27891,10.60718,637.51062
45,Numbat,Myrmecobius fasciatus,1999,-34.2228421,116.3565964,contemporary,20.20398,10.73174,720.41962
